"","Country","year","value"
"1","Australia",1951,9.41
"2","Denmark",1951,22.4
"3","Iceland",1951,13.5
"4","Italy",1951,6.74
"5","Japan",1951,22.3
"6","Netherlands",1951,6.3
"7","New Zealand",1951,9.76
"8","Norway",1951,5.95
"9","Spain",1951,5.98
"10","Sweden",1951,14.6
"11","United Kingdom",1951,8.08
"12","Australia",1952,10.5
"13","Denmark",1952,21.8
"14","Iceland",1952,12.6
"15","Italy",1952,6.21
"16","Japan",1952,22
"17","Netherlands",1952,6.49
"18","New Zealand",1952,10.1
"19","Norway",1952,6.34
"20","Spain",1952,6.06
"21","Sweden",1952,14.9
"22","United Kingdom",1952,7.79
"23","Australia",1953,10.8
"24","Denmark",1953,23
"25","Iceland",1953,8.73
"26","Italy",1953,6.31
"27","Japan",1953,23.7
"28","Netherlands",1953,6.71
"29","New Zealand",1953,9.71
"30","Norway",1953,6.93
"31","Spain",1953,6.02
"32","Sweden",1953,16.4
"33","United Kingdom",1953,8.47
"34","Australia",1954,10.7
"35","Denmark",1954,22.1
"36","Iceland",1954,13.6
"37","Italy",1954,5.89
"38","Japan",1954,26.4
"39","Netherlands",1954,6.42
"40","New Zealand",1954,8.6
"41","Norway",1954,6.78
"42","Spain",1954,5.88
"43","Sweden",1954,14.8
"44","United Kingdom",1954,8.93
"45","Australia",1955,10.3
"46","Denmark",1955,22.1
"47","Iceland",1955,16.2
"48","Italy",1955,6.43
"49","Japan",1955,28.1
"50","Netherlands",1955,6.14
"51","New Zealand",1955,9.07
"52","Norway",1955,6.81
"53","Spain",1955,5.5
"54","Sweden",1955,15.5
"55","United Kingdom",1955,8.92
"56","Australia",1956,10.8
"57","Denmark",1956,21.2
"58","Iceland",1956,13.7
"59","Italy",1956,6.48
"60","Japan",1956,27.2
"61","Netherlands",1956,6.02
"62","New Zealand",1956,9.46
"63","Norway",1956,6.66
"64","Spain",1956,5.27
"65","Sweden",1956,17.6
"66","United Kingdom",1956,9.33
"67","Australia",1957,12.2
"68","Denmark",1957,20.7
"69","Iceland",1957,9.47
"70","Italy",1957,6.25
"71","Japan",1957,26.6
"72","Netherlands",1957,6.4
"73","New Zealand",1957,10
"74","Norway",1957,6.65
"75","Spain",1957,5.25
"76","Sweden",1957,17.4
"77","United Kingdom",1957,9.35
"78","Australia",1958,12.5
"79","Denmark",1958,19.6
"80","Iceland",1958,6.01
"81","Italy",1958,5.94
"82","Japan",1958,27.6
"83","Netherlands",1958,6.72
"84","New Zealand",1958,10.2
"85","Norway",1958,6.56
"86","Spain",1958,4.99
"87","Sweden",1958,14.9
"88","United Kingdom",1958,9.39
"89","Australia",1959,11.2
"90","Denmark",1959,19.8
"91","Iceland",1959,7.4
"92","Italy",1959,5.98
"93","Japan",1959,24.6
"94","Netherlands",1959,7
"95","New Zealand",1959,9.24
"96","Norway",1959,7.13
"97","Spain",1959,5.1
"98","Sweden",1959,15.9
"99","United Kingdom",1959,9.22
"100","Australia",1960,10.8
"101","Denmark",1960,18.9
"102","Iceland",1960,9.12
"103","Italy",1960,5.76
"104","Japan",1960,23.2
"105","Netherlands",1960,6.64
"106","New Zealand",1960,10.3
"107","Norway",1960,6.05
"108","Spain",1960,5.48
"109","Sweden",1960,15.2
"110","United Kingdom",1960,9.09
"111","Australia",1961,12.2
"112","Denmark",1961,15.6
"113","Iceland",1961,11.9
"114","Italy",1961,5.21
"115","Japan",1961,21.1
"116","Netherlands",1961,6.56
"117","New Zealand",1961,9.06
"118","Norway",1961,6.25
"119","Spain",1961,5.11
"120","Sweden",1961,14.7
"121","United Kingdom",1961,9.14
"122","Australia",1962,14.2
"123","Denmark",1962,17.7
"124","Iceland",1962,10.6
"125","Italy",1962,5.08
"126","Japan",1962,18.9
"127","Netherlands",1962,6.53
"128","New Zealand",1962,9.05
"129","Norway",1962,7.25
"130","Spain",1962,4.81
"131","Sweden",1962,16.2
"132","United Kingdom",1962,9.84
"133","Australia",1963,16.3
"134","Denmark",1963,17.7
"135","Iceland",1963,9.38
"136","Italy",1963,4.88
"137","Japan",1963,17.3
"138","Netherlands",1963,6.09
"139","New Zealand",1963,10.3
"140","Norway",1963,7.29
"141","Spain",1963,4.8
"142","Sweden",1963,16.3
"143","United Kingdom",1963,10.1
"144","Australia",1964,15.1
"145","Denmark",1964,19.3
"146","Iceland",1964,10.1
"147","Italy",1964,5.02
"148","Japan",1964,16.3
"149","Netherlands",1964,6.48
"150","New Zealand",1964,8.6
"151","Norway",1964,6.61
"152","Spain",1964,4.76
"153","Sweden",1964,17.4
"154","United Kingdom",1964,9.7
"155","Australia",1965,15.4
"156","Denmark",1965,17.7
"157","Iceland",1965,12.8
"158","Italy",1965,5.08
"159","Japan",1965,15.8
"160","Netherlands",1965,6.78
"161","New Zealand",1965,9.87
"162","Norway",1965,7.19
"163","Spain",1965,4.55
"164","Sweden",1965,16.6
"165","United Kingdom",1965,9.03
"166","Australia",1966,14.5
"167","Denmark",1966,16.3
"168","Iceland",1966,22
"169","Italy",1966,4.76
"170","Japan",1966,16.1
"171","Netherlands",1966,6.98
"172","New Zealand",1966,9.77
"173","Norway",1966,6.46
"174","Spain",1966,4.4
"175","Sweden",1966,17.7
"176","United Kingdom",1966,8.78
"177","Australia",1967,15.7
"178","Denmark",1967,16.1
"179","Iceland",1967,18.4
"180","Italy",1967,5.07
"181","Japan",1967,14.9
"182","Netherlands",1967,6.16
"183","New Zealand",1967,10.9
"184","Norway",1967,6.34
"185","Spain",1967,4.24
"186","Sweden",1967,19.3
"187","United Kingdom",1967,8.31
"188","Australia",1968,13.2
"189","Denmark",1968,18.8
"190","Iceland",1968,8.29
"191","Italy",1968,4.91
"192","Japan",1968,15
"193","Netherlands",1968,6.14
"194","New Zealand",1968,10.4
"195","Norway",1968,7.57
"196","Spain",1968,4.03
"197","Sweden",1968,19.4
"198","United Kingdom",1968,8.01
"199","Australia",1969,12.8
"200","Denmark",1969,19.2
"201","Iceland",1969,11.7
"202","Italy",1969,5
"203","Japan",1969,14.9
"204","Netherlands",1969,7.18
"205","New Zealand",1969,10.7
"206","Norway",1969,7.58
"207","Spain",1969,4.15
"208","Sweden",1969,19.6
"209","United Kingdom",1969,7.53
"210","Australia",1970,12.8
"211","Denmark",1970,19.7
"212","Iceland",1970,14.7
"213","Italy",1970,5.19
"214","Japan",1970,15.5
"215","Netherlands",1970,7.82
"216","New Zealand",1970,10.2
"217","Norway",1970,7.95
"218","Spain",1970,NA
"219","Sweden",1970,19.9
"220","United Kingdom",1970,6.95
"221","Australia",1971,14.2
"222","Denmark",1971,22.5
"223","Iceland",1971,6.19
"224","Italy",1971,5.4
"225","Japan",1971,15.6
"226","Netherlands",1971,7.98
"227","New Zealand",1971,8.87
"228","Norway",1971,7.77
"229","Spain",1971,4.02
"230","Sweden",1971,18.2
"231","United Kingdom",1971,6.95
"232","Australia",1972,13
"233","Denmark",1972,21.7
"234","Iceland",1972,9.91
"235","Italy",1972,5.26
"236","Japan",1972,16.8
"237","Netherlands",1972,7.96
"238","New Zealand",1972,9.49
"239","Norway",1972,8.52
"240","Spain",1972,4.15
"241","Sweden",1972,18.2
"242","United Kingdom",1972,6.81
"243","Australia",1973,12
"244","Denmark",1973,21.6
"245","Iceland",1973,14.5
"246","Italy",1973,5.08
"247","Japan",1973,17.3
"248","Netherlands",1973,8.48
"249","New Zealand",1973,9.23
"250","Norway",1973,8.16
"251","Spain",1973,3.93
"252","Sweden",1973,18.6
"253","United Kingdom",1973,6.95
"254","Australia",1974,12
"255","Denmark",1974,23.3
"256","Iceland",1974,11
"257","Italy",1974,4.74
"258","Japan",1974,17.3
"259","Netherlands",1974,8.9
"260","New Zealand",1974,9.55
"261","Norway",1974,9.95
"262","Spain",1974,3.67
"263","Sweden",1974,17.8
"264","United Kingdom",1974,7.05
"265","Australia",1975,11.4
"266","Denmark",1975,21.8
"267","Iceland",1975,11.2
"268","Italy",1975,4.91
"269","Japan",1975,17.6
"270","Netherlands",1975,8.6
"271","New Zealand",1975,10.1
"272","Norway",1975,9.35
"273","Spain",1975,3.67
"274","Sweden",1975,17.5
"275","United Kingdom",1975,6.73
"276","Australia",1976,11
"277","Denmark",1976,21.4
"278","Iceland",1976,9.76
"279","Italy",1976,4.94
"280","Japan",1976,17.2
"281","Netherlands",1976,9.04
"282","New Zealand",1976,9.69
"283","Norway",1976,10.2
"284","Spain",1976,3.86
"285","Sweden",1976,17
"286","United Kingdom",1976,6.94
"287","Australia",1977,11.3
"288","Denmark",1977,21.8
"289","Iceland",1977,10.9
"290","Italy",1977,5.44
"291","Japan",1977,17.3
"292","Netherlands",1977,8.78
"293","New Zealand",1977,12.4
"294","Norway",1977,11
"295","Spain",1977,3.81
"296","Sweden",1977,17.4
"297","United Kingdom",1977,7.16
"298","Australia",1978,11.3
"299","Denmark",1978,20.8
"300","Iceland",1978,12.3
"301","Italy",1978,5.6
"302","Japan",1978,16.9
"303","Netherlands",1978,9.14
"304","New Zealand",1978,10.6
"305","Norway",1978,11.2
"306","Spain",1978,3.83
"307","Sweden",1978,16.8
"308","United Kingdom",1978,7.27
"309","Australia",1979,11.6
"310","Denmark",1979,23.4
"311","Iceland",1979,13.8
"312","Italy",1979,6.05
"313","Japan",1979,17.1
"314","Netherlands",1979,9.8
"315","New Zealand",1979,9.95
"316","Norway",1979,11.6
"317","Spain",1979,3.86
"318","Sweden",1979,18.2
"319","United Kingdom",1979,7.65
"320","Australia",1980,10.9
"321","Denmark",1980,28.3
"322","Iceland",1980,11.4
"323","Italy",1980,6.2
"324","Japan",1980,16.5
"325","Netherlands",1980,9.37
"326","New Zealand",1980,10.8
"327","Norway",1980,11.6
"328","Spain",1980,4.07
"329","Sweden",1980,17.3
"330","United Kingdom",1980,7.82
"331","Australia",1981,11.1
"332","Denmark",1981,26.4
"333","Iceland",1981,6.98
"334","Italy",1981,5.82
"335","Japan",1981,15.8
"336","Netherlands",1981,9.24
"337","New Zealand",1981,10.2
"338","Norway",1981,12.1
"339","Spain",1981,4.2
"340","Sweden",1981,15.3
"341","United Kingdom",1981,7.91
"342","Australia",1982,11.3
"343","Denmark",1982,25.9
"344","Iceland",1982,9.48
"345","Italy",1982,6.24
"346","Japan",1982,16
"347","Netherlands",1982,9.77
"348","New Zealand",1982,11.3
"349","Norway",1982,13.3
"350","Spain",1982,4.45
"351","Sweden",1982,16.8
"352","United Kingdom",1982,7.79
"353","Australia",1983,10.7
"354","Denmark",1983,24.6
"355","Iceland",1983,17.1
"356","Italy",1983,6.26
"357","Japan",1983,19.1
"358","Netherlands",1983,10.8
"359","New Zealand",1983,10.7
"360","Norway",1983,13.7
"361","Spain",1983,5.08
"362","Sweden",1983,16.5
"363","United Kingdom",1983,7.71
"364","Australia",1984,10.9
"365","Denmark",1984,24.8
"366","Iceland",1984,19.1
"367","Italy",1984,6.42
"368","Japan",1984,18.2
"369","Netherlands",1984,11.1
"370","New Zealand",1984,11.7
"371","Norway",1984,13.4
"372","Spain",1984,5.76
"373","Sweden",1984,17.2
"374","United Kingdom",1984,7.73
"375","Australia",1985,11.4
"376","Denmark",1985,23.8
"377","Iceland",1985,13.3
"378","Italy",1985,6.72
"379","Japan",1985,17.1
"380","Netherlands",1985,10.1
"381","New Zealand",1985,10
"382","Norway",1985,13.4
"383","Spain",1985,5.7
"384","Sweden",1985,15.7
"385","United Kingdom",1985,7.93
"386","Australia",1986,12.3
"387","Denmark",1986,23.6
"388","Iceland",1986,15.3
"389","Italy",1986,6.59
"390","Japan",1986,18.5
"391","Netherlands",1986,9.74
"392","New Zealand",1986,12.3
"393","Norway",1986,13
"394","Spain",1986,6.22
"395","Sweden",1986,16.1
"396","United Kingdom",1986,7.47
"397","Australia",1987,12.7
"398","Denmark",1987,23.6
"399","Iceland",1987,14.3
"400","Italy",1987,6.29
"401","Japan",1987,16.8
"402","Netherlands",1987,9.68
"403","New Zealand",1987,13.6
"404","Norway",1987,14.3
"405","Spain",1987,6.2
"406","Sweden",1987,15.7
"407","United Kingdom",1987,7.16
"408","Australia",1988,12.5
"409","Denmark",1988,21.8
"410","Iceland",1988,14.5
"411","Italy",1988,6.02
"412","Japan",1988,15.8
"413","Netherlands",1988,9.01
"414","New Zealand",1988,14
"415","Norway",1988,15.6
"416","Spain",1988,6.52
"417","Sweden",1988,16.2
"418","United Kingdom",1988,7.74
"419","Australia",1989,11.6
"420","Denmark",1989,22.1
"421","Iceland",1989,8.66
"422","Italy",1989,5.98
"423","Japan",1989,14.3
"424","Netherlands",1989,8.99
"425","New Zealand",1989,13.5
"426","Norway",1989,14.2
"427","Spain",1989,6.49
"428","Sweden",1989,16
"429","United Kingdom",1989,6.8
"430","Australia",1990,12.2
"431","Denmark",1990,19.6
"432","Iceland",1990,15.7
"433","Italy",1990,5.98
"434","Japan",1990,13.4
"435","Netherlands",1990,8.41
"436","New Zealand",1990,13.1
"437","Norway",1990,14
"438","Spain",1990,6.25
"439","Sweden",1990,14.3
"440","United Kingdom",1990,7.28
"441","Australia",1991,12.5
"442","Denmark",1991,18.3
"443","Iceland",1991,14.4
"444","Italy",1991,6.05
"445","Japan",1991,13.1
"446","Netherlands",1991,9.2
"447","New Zealand",1991,13.2
"448","Norway",1991,14.4
"449","Spain",1991,6.14
"450","Sweden",1991,14.6
"451","United Kingdom",1991,7.15
"452","Australia",1992,12.1
"453","Denmark",1992,17.7
"454","Iceland",1992,10.8
"455","Italy",1992,6.25
"456","Japan",1992,13.5
"457","Netherlands",1992,8.96
"458","New Zealand",1992,13.6
"459","Norway",1992,13
"460","Spain",1992,5.8
"461","Sweden",1992,13
"462","United Kingdom",1992,7.25
"463","Australia",1993,10.8
"464","Denmark",1993,17.8
"465","Iceland",1993,10.1
"466","Italy",1993,6.41
"467","Japan",1993,13.1
"468","Netherlands",1993,8.78
"469","New Zealand",1993,12
"470","Norway",1993,12.3
"471","Spain",1993,6.38
"472","Sweden",1993,13.3
"473","United Kingdom",1993,6.97
"474","Australia",1994,12
"475","Denmark",1994,15.2
"476","Iceland",1994,9.21
"477","Italy",1994,6.18
"478","Japan",1994,13.3
"479","Netherlands",1994,8.86
"480","New Zealand",1994,13.7
"481","Norway",1994,11.4
"482","Spain",1994,6.58
"483","Sweden",1994,12.4
"484","United Kingdom",1994,6.82
"485","Australia",1995,11.3
"486","Denmark",1995,14.2
"487","Iceland",1995,9.94
"488","Italy",1995,6.16
"489","Japan",1995,13.4
"490","Netherlands",1995,8.45
"491","New Zealand",1995,14.5
"492","Norway",1995,11.6
"493","Spain",1995,6.44
"494","Sweden",1995,12.8
"495","United Kingdom",1995,6.71
"496","Australia",1996,12.4
"497","Denmark",1996,13.6
"498","Iceland",1996,12.1
"499","Italy",1996,6.35
"500","Japan",1996,13.7
"501","Netherlands",1996,8.67
"502","New Zealand",1996,14.2
"503","Norway",1996,10.8
"504","Spain",1996,6.78
"505","Sweden",1996,11.8
"506","United Kingdom",1996,6.43
"507","Australia",1997,13.5
"508","Denmark",1997,12.5
"509","Iceland",1997,11.9
"510","Italy",1997,6.27
"511","Japan",1997,14.4
"512","Netherlands",1997,8.73
"513","New Zealand",1997,14.8
"514","Norway",1997,10.9
"515","Spain",1997,6.76
"516","Sweden",1997,11.6
"517","United Kingdom",1997,6.43
"518","Australia",1998,13.3
"519","Denmark",1998,11.7
"520","Iceland",1998,10.4
"521","Italy",1998,5.95
"522","Japan",1998,19.3
"523","Netherlands",1998,8.25
"524","New Zealand",1998,15
"525","Norway",1998,11.6
"526","Spain",1998,6.46
"527","Sweden",1998,11.4
"528","United Kingdom",1998,6.83
"529","Australia",1999,12.4
"530","Denmark",1999,11.9
"531","Iceland",1999,10.9
"532","Italy",1999,5.44
"533","Japan",1999,19
"534","Netherlands",1999,8.27
"535","New Zealand",1999,13.3
"536","Norway",1999,12.4
"537","Spain",1999,6.21
"538","Sweden",1999,11.6
"539","United Kingdom",1999,6.82
"540","Australia",2000,11.7
"541","Denmark",2000,11
"542","Iceland",2000,17.9
"543","Italy",2000,5.43
"544","Japan",2000,18.2
"545","Netherlands",2000,8
"546","New Zealand",2000,11.8
"547","Norway",2000,11.4
"548","Spain",2000,6.48
"549","Sweden",2000,10.5
"550","United Kingdom",2000,NA
"551","Australia",2001,11.8
"552","Denmark",2001,10.7
"553","Iceland",2001,12
"554","Italy",2001,5.3
"555","Japan",2001,17.6
"556","Netherlands",2001,7.8
"557","New Zealand",2001,12.9
"558","Norway",2001,11.3
"559","Spain",2001,5.98
"560","Sweden",2001,10.8
"561","United Kingdom",2001,6.35
"562","Australia",2002,11
"563","Denmark",2002,10.2
"564","Iceland",2002,10.2
"565","Italy",2002,5.34
"566","Japan",2002,17.9
"567","Netherlands",2002,8.23
"568","New Zealand",2002,11.7
"569","Norway",2002,9.99
"570","Spain",2002,6.22
"571","Sweden",2002,11
"572","United Kingdom",2002,6.37
"573","Australia",2003,10.1
"574","Denmark",2003,9.33
"575","Iceland",2003,8.55
"576","Italy",2003,5.23
"577","Japan",2003,19.5
"578","Netherlands",2003,7.79
"579","New Zealand",2003,12.4
"580","Norway",2003,10.4
"581","Spain",2003,6.3
"582","Sweden",2003,10.4
"583","United Kingdom",2003,6.06
"584","Australia",2004,9.66
"585","Denmark",2004,10.1
"586","Iceland",2004,11.3
"587","Italy",2004,5.09
"588","Japan",2004,18.4
"589","Netherlands",2004,7.8
"590","New Zealand",2004,11.8
"591","Norway",2004,10.7
"592","Spain",2004,6.25
"593","Sweden",2004,10.7
"594","United Kingdom",2004,6.27
"595","Australia",2005,NA
"596","Denmark",2005,8.97
"597","Iceland",2005,10.5
"598","Italy",2005,4.78
"599","Japan",2005,18.8
"600","Netherlands",2005,8.16
"601","New Zealand",2005,12.2
"602","Norway",2005,10.8
"603","Spain",2005,5.89
"604","Sweden",2005,11.1
"605","United Kingdom",2005,6.01
"606","Australia",2006,9.45
"607","Denmark",2006,9.31
"608","Iceland",2006,9.84
"609","Italy",2006,4.57
"610","Japan",2006,18.4
"611","Netherlands",2006,7.89
"612","New Zealand",2006,12.3
"613","Norway",2006,10.6
"614","Spain",2006,5.53
"615","Sweden",2006,10.9
"616","United Kingdom",2006,6.09
"617","Australia",2007,9.71
"618","Denmark",2007,8.4
"619","Iceland",2007,11.2
"620","Italy",2007,4.63
"621","Japan",2007,18.8
"622","Netherlands",2007,6.93
"623","New Zealand",2007,11.2
"624","Norway",2007,9.39
"625","Spain",2007,5.38
"626","Sweden",2007,10.3
"627","United Kingdom",2007,5.73
"628","Australia",2008,9.96
"629","Denmark",2008,8.74
"630","Iceland",2008,10.8
"631","Italy",2008,4.81
"632","Japan",2008,18.8
"633","Netherlands",2008,7.27
"634","New Zealand",2008,11.8
"635","Norway",2008,9.68
"636","Spain",2008,5.71
"637","Sweden",2008,10.6
"638","United Kingdom",2008,6.25
"639","Australia",2009,9.62
"640","Denmark",2009,8.69
"641","Iceland",2009,10.3
"642","Italy",2009,4.8
"643","Japan",2009,19.1
"644","Netherlands",2009,7.63
"645","New Zealand",2009,11.4
"646","Norway",2009,10.7
"647","Spain",2009,5.6
"648","Sweden",2009,11.2
"649","United Kingdom",2009,6.17
"650","Australia",2010,9.82
"651","Denmark",2010,7.86
"652","Iceland",2010,13.4
"653","Italy",2010,4.8
"654","Japan",2010,18.3
"655","Netherlands",2010,7.97
"656","New Zealand",2010,11.8
"657","Norway",2010,10.1
"658","Spain",2010,5.04
"659","Sweden",2010,10.1
"660","United Kingdom",2010,6
"661","Australia",2011,9.73
"662","Denmark",2011,8.37
"663","Iceland",2011,8.09
"664","Italy",2011,5.07
"665","Japan",2011,18.2
"666","Netherlands",2011,8.28
"667","New Zealand",2011,10.9
"668","Norway",2011,11
"669","Spain",2011,5.04
"670","Sweden",2011,10
"671","United Kingdom",2011,6.29
"672","Australia",2012,10.3
"673","Denmark",2012,9.22
"674","Iceland",2012,10.5
"675","Italy",2012,5.26
"676","Japan",2012,16.6
"677","Netherlands",2012,8.73
"678","New Zealand",2012,12.1
"679","Norway",2012,9.19
"680","Spain",2012,5.59
"681","Sweden",2012,10
"682","United Kingdom",2012,6.27
"683","Australia",2013,10.2
"684","Denmark",2013,8.37
"685","Iceland",2013,13.5
"686","Italy",2013,5.2
"687","Japan",2013,16.3
"688","Netherlands",2013,9.02
"689","New Zealand",2013,11
"690","Norway",2013,9.7
"691","Spain",2013,6.13
"692","Sweden",2013,10.7
"693","United Kingdom",2013,6.65
"694","Australia",2014,11.2
"695","Denmark",2014,8.69
"696","Iceland",2014,12.2
"697","Italy",2014,4.97
"698","Japan",2014,15.5
"699","Netherlands",2014,8.91
"700","New Zealand",2014,NA
"701","Norway",2014,9.36
"702","Spain",2014,6.19
"703","Sweden",2014,9.9
"704","United Kingdom",2014,6.59
"705","Australia",2015,11.6
"706","Denmark",2015,7.59
"707","Iceland",2015,11.3
"708","Italy",2015,4.69
"709","Japan",2015,14.5
"710","Netherlands",2015,8.91
"711","New Zealand",2015,NA
"712","Norway",2015,9.78
"713","Spain",2015,5.62
"714","Sweden",2015,10.1
"715","United Kingdom",2015,6.7
